t_author_id,rt_author_id,weight,mention
14159148,1105064943794245632,1,@who
1174221961171521536,2476070574,1,@who
1174221961171521536,1183658840077680640,1,@who
44763075,802504367245066240,1,@who
20904490,1001089655758979072,1,@who
20904490,2776036613,1,@who
44763075,14286806,1,@who
44763075,869967070984851457,1,@who
20904490,745308775964344324,1,@who
16949344,968854964683657216,1,@who
20904490,410391932,1,@who
14159148,2885133342,1,@who
20904490,61172258,1,@who
20904490,237719540,1,@who
1174221961171521536,704481484858658816,1,@who
20904490,15119514,1,@who
20904490,3283774369,1,@who
757303975,772795796618084353,1,@who
20904490,883067690117730304,1,@who
20904490,2532161378,1,@who
1954402777,1000054080088301568,1,@who
20904490,287194246,1,@who
20904490,751373901914116097,1,@who
20904490,1692248610,1,@who
20904490,18373946,1,@who
20904490,1143528514550927361,1,@who
552725069,78814841,1,@who
552725069,1100586841168703488,1,@who
246961837,552725069,1,@who
106517342,761971720831897600,1,@who
246961837,1129812268663934977,1,@who
3240700272,772258773381574657,1,@who
791518540864098304,18271326,1,@who
791323908066648064,93715088,1,@who
159146973,15684633,1,@who
106517342,2565865626,1,@who
106517342,3632073868,1,@who
106517342,2326702317,1,@who
44763075,513464948,1,@who
1967114438,44250371,1,@who
44763075,122414359,1,@who
1967114438,722803965289562112,1,@who
1967114438,4325734633,1,@who
1967114438,3373714001,1,@who
241264919,878512453117591552,1,@who
1967114438,176399326,1,@who
20904490,101466142,1,@who
20904490,4038367365,1,@who
20904490,65316869,1,@who
20904490,1143528514550927361,1,@who
20904490,2472694548,1,@who
1967114438,1063796732121759744,1,@who
1967114438,726923544752345092,1,@who
1211569200885456896,1122607758715564033,1,@who
961705070,378087700,1,@who
1967114438,783050109340807170,1,@who
1967114438,2450329671,1,@who
1967114438,1967114438,1,@who
246961837,1247894310,1,@who
20904490,913475242667819008,1,@who
246961837,16709067,1,@who
544389588,3300087834,1,@who
44763075,2438960616,1,@who
20336210,1201272860746158080,1,@who
20904490,800459756292882432,1,@who
122414359,278007236,1,@who
93115683,138819914,1,@who
544389588,1724877289,1,@who
1062265363163795456,36406830,1,@who
93115683,41401964,1,@who
93115683,1173303092,1,@who
544389588,4709735054,1,@who
