t_author_id,rt_author_id,CO_tags_words_weight
299273962,364476368,1
1184901201160261632,311950558,1
179459971,886029358531358721,1
491461409,715090785,1
518986948,39081817,1
135522601,857589911511281664,1
1143506649606311936,182898680,1
1104150794914344960,1203117430769242112,1
2685319074,2685319074,1
47849447,2153894954,1
42290868,2377089403,1
423228557,3726235092,1
364476368,968761746,1
16868756,1109455321003687938,1
925714747,2411382145,1
819887835633381376,925714747,1
726801029963108352,3420619451,1
784351656355897344,726801029963108352,1
1062800741813886976,1090628267428794368,1
102448827,56077447,1
2579359027,56077447,1
2579359027,56077447,1
2579359027,56077447,1
2579359027,56077447,1
102448827,56077447,1
66496796,56077447,1
2579359027,56077447,1
1001947395494764544,1001947395494764544,1
213559194,1168531122600300544,1
37011196,223716829,1
1062265363163795456,36406830,1
37874853,2902192527,1
149180925,16844033,1
2996527219,1023854408,1
2996527219,1120603431041818624,1
2996527219,1120589294798643200,1
2996527219,1120245350415994880,1
2996527219,3318595525,1
2996527219,3239894984,1
2996527219,3224166493,1
2996527219,194749785,1
2996527219,2443798333,1
20677966,3038675233,1
37011196,356887005,1
37011196,116176070,1
37011196,1874383958,1
37011196,472783323,1
37011196,758375135183265792,1
925714747,982386071865581569,1
1062265363163795456,47247955,1
36406830,1062265363163795456,1
1062265363163795456,1062265363163795456,1
925714747,2411382145,1
975395073230811136,56077447,1
797502872468520960,56077447,1
2579359027,56077447,1
1201702705900802048,846834627788591111,1
14370400,925714747,1
203590668,203590668,1
203590668,203590668,1
203590668,203590668,1
203590668,203590668,1
203590668,203590668,1
1031383744874196992,19173563,1
726801029963108352,751365700183322624,1
804594552094998528,758322413939613696,1
2562240601,1089278956560363520,1
28023025,1054600164172677120,1
14753993,22709719,1
364476368,364476368,1
331202983,299273962,1
106570360,2545630868,1
1184474696193994752,831040250,1
106570360,553396754,1
1264858705,135227985,1
1264858705,162605872,1
1264858705,275516970,1
1264858705,113906540,1
1264858705,378436478,1
3604287076,758322413939613696,1
1264858705,1181066441858007040,1
472783323,472783323,1
4203902294,1382793386,1
1182980391491133440,4203902294,1
1264858705,2787224460,1
1264858705,239187748,1
1264858705,60295720,1
1182980391491133440,932076292006141952,1
737362108397060096,1194888074909536256,1
15754217,707212147240128512,1
364476368,364476368,1
784351656355897344,879751182696230912,1
15754217,2270376266,1
15754217,41626609,1
58138246,206287352,1
737362108397060096,788102773514637312,1
1062265363163795456,212757204,1
737362108397060096,2805368622,1
737362108397060096,2372506217,1
13557562,58138246,1
15754217,726801029963108352,1
1053695891897348096,700284386,1
737362108397060096,730011900877082624,1
737362108397060096,2500899012,1
3794682452,198528220,1
364476368,364476368,1
779833230,94898789,1
206789747,206789747,1
303480410,726801029963108352,1
472783323,2519521015,1
2768501,388708143,1
120665181,182898680,1
472783323,720771727760977924,1
1062265363163795456,732787392722182144,1
2541083077,1231726628,1
14753993,22709719,1
14753993,22709719,1
14753993,22709719,1
2541083077,969781208321331201,1
969781208321331200,2541083077,1
925714747,1177955405198221313,1
2321760091,1105442950295834624,1
915528910049222656,2995106388,1
833350151435669504,1028585676705619968,1
74452613,893530150926602240,1
23424533,833350151435669504,1
2997045070,1154199152391274501,1
2579359027,56077447,1
2579359027,56077447,1
2579359027,56077447,1
2997045070,1054600164172677120,1
2579359027,56077447,1
230769694,1136055528273133569,1
19038934,44559043,1
65214004,101970219,1
472783323,155230346,1
1264858705,738731196398501889,1
3317292621,330164748,1
726801029963108352,839210202918449152,1
3317292621,839210202918449152,1
208120290,2321563923,1
472783323,839210202918449152,1
170310755,273083790,1
2845140635,1057645927,1
472783323,1199009652090048513,1
2845140635,1057645927,1
472783323,1062265363163795456,1
1062265363163795456,1062265363163795456,1
472783323,3317292621,1
472783323,472783323,1
106570360,553396754,1
754198549,1508069036,1
16404141,973556936,1
743792154,1162068181248356352,1
922142306932875264,587832247,1
922142306932875264,15772745,1
14499829,629518807,1
342743938,1131589579998486529,1
1443770078,1002058600695517185,1
781423286,2598330110,1
75890868,869873619551174657,1
75890868,1140183523,1
27708897,909354192,1
1443770078,588311217,1
327211478,20020241,1
14499829,290020715,1
6135622,2962271415,1
152358615,607844378,1
894567745655902208,1545817196,1
1148385761135382528,4814056957,1
146569971,1148306976176132096,1
7587032,1140183523,1
1443770078,928203366404046848,1
545061074,136725070,1
290102129,2451464584,1
129877411,246657960,1
545061074,509406522,1
136763692,113234995,1
38374100,2967463302,1
947238380454150144,92345554,1
14499829,40767496,1
1187843460570574848,721535373449375744,1
7587032,24594843,1
6135622,1520000839,1
14499829,3233827172,1
187526613,484886694,1
1088575080186216448,101885490,1
14499829,127967406,1
75972047,3049504206,1
6135622,3041627797,1
460787346,1232343073,1
19489239,21098901,1
39692424,603343694,1
77129708,40918502,1
1041713134845607936,995114700408000514,1
1148986923232518144,252384697,1
173739340,106223682,1
1443770078,1212219278,1
290102129,144741178,1
146569971,257772699,1
460787346,923434334618501120,1
75890868,1190714023421063180,1
18621574,1062127747412066307,1
14499829,1187695170919251969,1
4320158773,940933853706940416,1
109510894,810948556743909377,1
1443770078,1120882398,1
407040666,3049504206,1
37705479,2244244818,1
14499829,65622672,1
545061074,1213606821899816960,1
18650514,869873619551174657,1
14499829,915765139,1
27708897,53017155,1
35977487,221617196,1
146569971,870365134547496961,1
288376842,4249139113,1
1055315125,746320970621739009,1
14499829,21143961,1
1443770078,1050877296666644481,1
84907631,84907631,1
781423286,748209579746435072,1
4878535505,1898521650,1
1443770078,535097149,1
1046145922982457344,268364717,1
1214315619031478272,566493550,1
393716211,1099549962847674368,1
146569971,2829186384,1
1055315125,869873619551174657,1
1214315619031478272,849399922344513538,1
215738351,43261050,1
187526613,708492042490413056,1
4878535505,235359709,1
3267628939,169666119,1
189868631,749918971,1
844136511079559168,39037175,1
1443770078,4424588660,1
215738351,215738351,1
84907631,291926899,1
167391967,1480811695,1
856796323,159922713,1
159922713,159922713,1
187526613,192602875,1
3226764404,3259545289,1
14499829,97139178,1
1055315125,933151656279031808,1
34262462,520426603,1
238196192,4496661046,1
874197668,957453287145394176,1
1443770078,846344288480874497,1
146569971,3792330074,1
210077250,81965217,1
3362741,360611267,1
14499829,1087315905288142848,1
844136511079559168,1069326211816583168,1
187526613,81965217,1
146569971,1011297792,1
2580805999,1122086932001853441,1
2324598132,995114700408000514,1
16676396,2733035146,1
14499829,839046601,1
18621574,174151920,1
41351727,4627583365,1
1443770078,568939317,1
18621574,232959645,1
75890868,4627583365,1
1108957298594963456,1191112956463009792,1
7587032,1062839046320332801,1
1101354170,705394475141431300,1
2580805999,808896978222452738,1
1187843460570574848,1127363349891522560,1
8839632,1062090150325485568,1
365886581,968090179981393920,1
135420282,40879407,1
1077962244,226952744,1
1214315619031478272,1214307003566133248,1
917880312406859776,3164657640,1
